Day,Date,Topic,Problem,Difficulty,Time Limit,Actual Time Taken,Solved Independently (Y/N),Approach Quality (Brute-force/Optimal),Confidence (1-5),Needs Phase 2 Revisit (Y/N)
1,,Arrays/Strings,Longest Substring Without Repeating Characters,Medium,25 min,,,,,
1,,Arrays/Strings,Product of Array Except Self,Medium,25 min,,,,,
1,,Arrays/Strings,3Sum,Medium,25 min,,,,,
2,,Two Pointers/Sliding Window,Container With Most Water,Medium,25 min,,,,,
2,,Two Pointers/Sliding Window,Minimum Size Subarray Sum,Medium,25 min,,,,,
2,,Two Pointers/Sliding Window,Longest Repeating Character Replacement,Medium,25 min,,,,,
3,,Linked List,Add Two Numbers,Medium,25 min,,,,,
3,,Linked List,Reorder List,Medium,25 min,,,,,
3,,Linked List,Linked List Cycle II,Medium,25 min,,,,,
4,,Stack/Queue,Daily Temperatures,Medium,25 min,,,,,
4,,Stack/Queue,Evaluate Reverse Polish Notation,Medium,25 min,,,,,
4,,Stack/Queue,Min Stack,Medium,25 min,,,,,
5,,Binary Search,Search in Rotated Sorted Array,Medium,25 min,,,,,
5,,Binary Search,Find Minimum in Rotated Sorted Array,Medium,25 min,,,,,
5,,Binary Search,Koko Eating Bananas,Medium,25 min,,,,,
8,,Trees,Binary Tree Level Order Traversal,Medium,25 min,,,,,
8,,Trees,Validate Binary Search Tree,Medium,25 min,,,,,
8,,Trees,Lowest Common Ancestor of a BST,Medium,25 min,,,,,
9,,Heaps/Priority Queue,Kth Largest Element in an Array,Medium,25 min,,,,,
9,,Heaps/Priority Queue,Top K Frequent Elements,Medium,25 min,,,,,
9,,Heaps/Priority Queue,Find Median from Data Stream,Medium,25 min,,,,,
10,,Graphs,Number of Islands,Medium,25 min,,,,,
10,,Graphs,Course Schedule,Medium,25 min,,,,,
10,,Graphs,Clone Graph,Medium,25 min,,,,,
11,,Dynamic Programming,Coin Change,Medium,25 min,,,,,
11,,Dynamic Programming,Longest Increasing Subsequence,Medium,25 min,,,,,
11,,Dynamic Programming,House Robber II,Medium,25 min,,,,,
12,,Backtracking,Subsets,Medium,25 min,,,,,
12,,Backtracking,Combination Sum,Medium,25 min,,,,,
12,,Backtracking,Word Search,Medium,25 min,,,,,
13,,Greedy,Jump Game,Medium,25 min,,,,,
13,,Greedy,Gas Station,Medium,25 min,,,,,
13,,Greedy,Task Scheduler,Medium,25 min,,,,,
13,,Bit Manipulation,Single Number,Medium,25 min,,,,,
13,,Bit Manipulation,Number of 1 Bits,Medium,25 min,,,,,
13,,Bit Manipulation,Sum of Two Integers,Medium,25 min,,,,,
